"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NABARD","N2","04-May-2017","       1115.05","       1116.00","       1116.00","       1110.25","       1113.00","       1113.66","       1115.07","       2885","             3216991.25","         14","       2860","         99.13"
"NABARD","N2","05-May-2017","       1113.66","       1110.50","       1114.50","       1110.50","       1114.50","       1114.50","       1113.86","       2873","             3200124.50","         38","       2822","         98.22"
"NABARD","N2","08-May-2017","       1114.50","       1114.05","       1119.95","       1114.05","       1119.95","       1119.95","       1115.94","       1491","             1663870.00","          9","       1490","         99.93"
"NABARD","N2","09-May-2017","       1119.95","       1119.90","       1121.00","       1119.50","       1120.20","       1120.93","       1120.14","       1062","             1189593.70","          9","       1061","         99.91"
"NABARD","N2","10-May-2017","       1120.93","       1120.00","       1120.00","       1120.00","       1120.00","       1120.00","       1120.00","          1","                1120.00","          1","          1","        100.00"
"NABARD","N2","11-May-2017","       1120.00","       1120.00","       1120.00","       1118.00","       1118.00","       1118.00","       1118.45","         31","               34672.00","          3","         31","        100.00"
"NABARD","N2","12-May-2017","       1118.00","       1120.00","       1120.00","       1118.00","       1118.00","       1118.00","       1118.39","         18","               20131.00","          6","         16","         88.89"
"NABARD","N2","15-May-2017","       1118.00","       1118.01","       1120.80","       1118.01","       1120.80","       1118.46","       1118.46","        175","              195731.20","          7","        175","        100.00"
"NABARD","N2","16-May-2017","       1118.46","       1118.00","       1120.00","       1118.00","       1120.00","       1120.00","       1119.73","        865","              968565.00","          8","        865","        100.00"
"NABARD","N2","17-May-2017","       1120.00","       1124.00","       1124.00","       1120.00","       1120.00","       1120.00","       1122.00","          3","                3366.00","          3","          3","        100.00"
"NABARD","N2","18-May-2017","       1120.00","       1125.00","       1125.00","       1125.00","       1125.00","       1125.00","       1125.00","          1","                1125.00","          1","          1","        100.00"
"NABARD","N2","19-May-2017","       1125.00","       1121.00","       1121.00","       1120.00","       1120.00","       1120.00","       1120.36","        280","              313700.00","          5","        280","        100.00"
"NABARD","N2","22-May-2017","       1120.00","       1119.00","       1123.00","       1119.00","       1121.00","       1121.00","       1119.84","        753","              843238.75","          8","        753","        100.00"
