Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,VWAP,"Total Traded
Quantity","Turnover
","No. of 
Trades","Deliverable
Qty","% Dly Qt to
Traded Qty"
IRFC,N1,04-May-2017,"1,124.96","1,125.00","1,125.00","1,125.00","1,125.00","1,125.00","1,125.00",100,"1,12,500.00",4,100,100.00
IRFC,N2,04-May-2017,"1,181.50","1,187.00","1,187.00","1,185.99","1,185.99","1,185.99","1,186.50",2,"2,372.99",2,0,0.00
IRFC,N3,04-May-2017,"1,089.99","1,090.00","1,090.00","1,075.05","1,075.05","1,075.05","1,075.45",200,"2,15,089.65",8,200,100.00
IRFC,N4,04-May-2017,"1,120.99","1,128.99","1,128.99","1,128.99","1,128.99","1,128.99","1,128.99",100,"1,12,899.00",1,100,100.00
IRFC,N6,04-May-2017,"1,072.52","1,080.00","1,080.00","1,080.00","1,080.00","1,080.00","1,080.00","1,000","10,80,000.00",5,"1,000",100.00
IRFC,N7,04-May-2017,"1,140.00","1,124.00","1,124.00","1,124.00","1,124.00","1,124.00","1,124.00",4,"4,496.00",1,4,100.00
IRFC,N8,04-May-2017,"1,389.00","1,190.58","1,200.00","1,190.55","1,200.00","1,200.00","1,190.63","7,639","90,95,205.00",6,"7,600",99.49
IRFC,N9,04-May-2017,"1,160.00","1,130.02","1,160.00","1,130.01","1,131.32","1,131.32","1,136.09",520,"5,90,768.55",6,445,85.58
IRFC,NA,04-May-2017,"1,212.50","1,209.00","1,209.00","1,195.01","1,195.01","1,195.01","1,202.05",246,"2,95,705.15",6,246,100.00
IRFC,NE,04-May-2017,"1,232.00","1,243.80","1,244.00","1,243.80","1,244.00","1,244.00","1,243.99",208,"2,58,750.40",7,200,96.15
IRFC,NN,04-May-2017,"1,099.00","1,070.22","1,070.22","1,070.22","1,070.22","1,070.22","1,070.22",100,"1,07,022.00",1,100,100.00
IRFC,NO,04-May-2017,"1,145.24","1,147.00","1,153.00","1,145.02","1,145.02","1,147.10","1,147.97","3,420","39,26,059.28",35,"3,049",89.15
IRFC,N1,05-May-2017,"1,125.00","1,125.00","1,129.00","1,125.00","1,129.00","1,129.00","1,125.67",24,"27,016.00",2,24,100.00
IRFC,N2,05-May-2017,"1,185.99","1,168.01","1,183.95","1,168.01","1,183.95","1,183.95","1,179.99",404,"4,76,714.25",7,300,74.26
IRFC,N3,05-May-2017,"1,075.05","1,090.00","1,090.00","1,075.05","1,075.05","1,075.05","1,076.71",9,"9,690.40",2,9,100.00
IRFC,N4,05-May-2017,"1,128.99","1,125.05","1,129.00","1,125.05","1,129.00","1,129.00","1,125.13","2,649","29,80,468.29",15,"2,645",99.85
IRFC,N9,05-May-2017,"1,131.32","1,121.01","1,150.00","1,121.01","1,150.00","1,150.00","1,132.58",511,"5,78,750.00",7,350,68.49
IRFC,NA,05-May-2017,"1,195.01","1,196.10","1,201.00","1,195.00","1,201.00","1,201.00","1,195.57",320,"3,82,583.50",7,300,93.75
IRFC,NE,05-May-2017,"1,244.00","1,244.00","1,255.00","1,244.00","1,255.00","1,255.00","1,254.95",804,"10,08,976.00",3,804,100.00
IRFC,NG,05-May-2017,"1,116.00","1,125.00","1,125.10","1,125.00","1,125.10","1,125.10","1,125.05",2,"2,250.10",2,0,0.00
IRFC,NJ,05-May-2017,"1,135.00","1,130.22","1,143.00","1,130.22","1,143.00","1,141.48","1,136.00","1,495","16,98,314.40",9,"1,432",95.79
IRFC,NK,05-May-2017,"1,155.00","1,160.00","1,167.00","1,145.03","1,145.07","1,145.09","1,160.91",282,"3,27,377.47",20,200,70.92
IRFC,NO,05-May-2017,"1,147.10","1,147.00","1,150.00","1,146.50","1,148.13","1,148.13","1,148.91","4,100","47,10,532.60",24,"3,248",79.22
IRFC,N1,08-May-2017,"1,129.00","1,121.50","1,122.00","1,112.15","1,112.15","1,118.89","1,119.45",803,"8,98,916.75",9,800,99.63
IRFC,N2,08-May-2017,"1,183.95","1,185.00","1,185.00","1,175.26","1,180.00","1,180.00","1,176.18","1,712","20,13,621.89",9,"1,601",93.52
IRFC,N8,08-May-2017,"1,200.00","1,440.00","1,440.00","1,349.99","1,349.99","1,349.99","1,379.99",3,"4,139.98",3,2,66.67
IRFC,N9,08-May-2017,"1,150.00","1,159.99","1,198.00","1,150.01","1,150.01","1,150.01","1,175.67","1,035","12,16,817.00",11,835,80.68
IRFC,NA,08-May-2017,"1,201.00","1,190.01","1,205.00","1,190.01","1,205.00","1,205.00","1,199.22",670,"8,03,478.66",4,670,100.00
IRFC,NE,08-May-2017,"1,255.00","1,245.00","1,260.00","1,240.00","1,240.00","1,240.00","1,241.60","1,723","21,39,279.00",18,"1,617",93.85
IRFC,NI,08-May-2017,"1,113.90","1,082.73","1,082.73","1,082.73","1,082.73","1,082.73","1,082.73",79,"85,535.67",1,79,100.00
IRFC,NO,08-May-2017,"1,148.13","1,149.99","1,154.40","1,148.00","1,153.00","1,152.25","1,151.29","1,969","22,66,888.83",23,"1,915",97.26
IRFC,N1,09-May-2017,"1,118.89","1,123.00","1,133.00","1,123.00","1,133.00","1,123.93","1,123.71",268,"3,01,154.50",9,265,98.88
IRFC,N2,09-May-2017,"1,180.00","1,176.13","1,180.00","1,176.12","1,180.00","1,178.75","1,176.14",493,"5,79,837.40",5,490,99.39
IRFC,NA,09-May-2017,"1,205.00","1,205.00","1,205.00","1,203.00","1,204.99","1,204.99","1,204.97",399,"4,80,783.24",10,399,100.00
IRFC,NG,09-May-2017,"1,125.10","1,115.01","1,115.10","1,115.01","1,115.10","1,115.10","1,115.06",2,"2,230.11",2,0,0.00
IRFC,NK,09-May-2017,"1,145.09","1,160.00","1,160.00","1,160.00","1,160.00","1,160.00","1,160.00",101,"1,17,160.00",3,101,100.00
IRFC,NO,09-May-2017,"1,152.25","1,155.50","1,155.75","1,155.00","1,155.00","1,155.00","1,155.11",241,"2,78,380.50",4,241,100.00
IRFC,N1,10-May-2017,"1,123.93","1,115.25","1,118.00","1,115.24","1,118.00","1,116.43","1,116.13",496,"5,53,600.41",18,438,88.31
IRFC,N2,10-May-2017,"1,178.75","1,180.00","1,180.00","1,179.00","1,179.00","1,179.00","1,179.50",2,"2,359.00",2,2,100.00
IRFC,N8,10-May-2017,"1,349.99","1,165.60","1,165.60","1,165.60","1,165.60","1,165.60","1,165.60",1,"1,165.60",1,1,100.00
IRFC,NA,10-May-2017,"1,204.99","1,200.00","1,203.00","1,200.00","1,200.00","1,200.00","1,200.03",454,"5,44,812.00",7,454,100.00
IRFC,NE,10-May-2017,"1,240.00","1,244.00","1,244.00","1,244.00","1,244.00","1,244.00","1,244.00",50,"62,200.00",1,50,100.00
IRFC,NG,10-May-2017,"1,115.10","1,125.01","1,125.10","1,125.01","1,125.10","1,125.10","1,125.06",2,"2,250.11",2,0,0.00
IRFC,NJ,10-May-2017,"1,141.48","1,140.00","1,146.90","1,135.05","1,145.00","1,145.00","1,138.20",567,"6,45,357.75",5,517,91.18
IRFC,N2,11-May-2017,"1,179.00","1,182.00","1,182.00","1,177.15","1,178.11","1,177.40","1,177.44",299,"3,52,054.43",11,152,50.84
IRFC,N9,11-May-2017,"1,150.01","1,145.00","1,183.70","1,145.00","1,179.99","1,181.84","1,147.51",502,"5,76,047.69",4,500,99.60
IRFC,NA,11-May-2017,"1,200.00","1,200.00","1,204.40","1,200.00","1,204.40","1,204.40","1,200.07",304,"3,64,822.00",7,299,98.36
IRFC,NE,11-May-2017,"1,244.00","1,244.00","1,244.00","1,244.00","1,244.00","1,244.00","1,244.00",80,"99,520.00",2,80,100.00
IRFC,NG,11-May-2017,"1,125.10","1,130.00","1,130.10","1,130.00","1,130.10","1,130.10","1,130.05",2,"2,260.10",2,0,0.00
IRFC,NI,11-May-2017,"1,082.73","1,084.00","1,095.00","1,084.00","1,095.00","1,095.00","1,089.91",97,"1,05,721.70",8,97,100.00
IRFC,NO,11-May-2017,"1,155.00","1,152.00","1,152.00","1,152.00","1,152.00","1,152.00","1,152.00",25,"28,800.00",1,25,100.00
IRFC,N1,12-May-2017,"1,116.43","1,118.05","1,121.00","1,115.61","1,116.00","1,116.05","1,116.57",460,"5,13,623.55",9,225,48.91
IRFC,N2,12-May-2017,"1,177.40","1,182.00","1,182.00","1,178.00","1,180.10","1,180.03","1,180.46",694,"8,19,240.63",12,598,86.17
IRFC,N4,12-May-2017,"1,129.00","1,125.00","1,135.00","1,125.00","1,135.00","1,135.00","1,132.78",450,"5,09,750.00",4,450,100.00
IRFC,NA,12-May-2017,"1,204.40","1,200.00","1,200.00","1,188.78","1,195.00","1,197.50","1,195.43",30,"35,862.80",4,20,66.67
IRFC,NE,12-May-2017,"1,244.00","1,258.00","1,258.00","1,225.11","1,237.00","1,237.00","1,238.62","1,753","21,71,302.80",10,"1,738",99.14
IRFC,NG,12-May-2017,"1,130.10","1,130.00","1,130.10","1,130.00","1,130.10","1,130.10","1,130.05",2,"2,260.10",2,0,0.00
IRFC,NJ,12-May-2017,"1,145.00","1,134.05","1,140.00","1,134.05","1,135.00","1,135.00","1,134.08",911,"10,33,143.55",4,911,100.00
