"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NHAI","N1","04-May-2017","       1140.00","       1147.00","       1147.00","       1139.10","       1139.10","       1139.94","       1140.43","       2127","             2425701.64","         16","       1873","         88.06"
"NHAI","N2","04-May-2017","       1209.84","       1208.00","       1212.00","       1207.20","       1212.00","       1211.99","       1209.97","       2737","             3311676.00","         43","       2277","         83.19"
"NHAI","N4","04-May-2017","       1160.00","       1130.00","       1130.00","       1122.10","       1122.10","       1122.10","       1122.21","        300","              336661.60","          3","        300","        100.00"
"NHAI","N6","04-May-2017","       1236.50","       1228.00","       1239.00","       1228.00","       1239.00","       1239.00","       1236.96","         70","               86587.00","          3","         70","        100.00"
"NHAI","N9","04-May-2017","       1097.00","       1090.75","       1110.00","       1090.75","       1110.00","       1109.98","       1103.26","       2860","             3155320.00","          5","       2860","        100.00"
"NHAI","NA","04-May-2017","       1116.79","       1116.00","       1119.00","       1114.00","       1114.00","       1116.69","       1115.75","       2557","             2852967.50","         20","       2557","        100.00"
"NHAI","NE","04-May-2017","       1159.00","       1157.25","       1159.99","       1157.00","       1159.50","       1159.50","       1158.39","        871","             1008956.10","          4","        656","         75.32"
"NHAI","N1","05-May-2017","       1139.94","       1140.00","       1140.25","       1139.00","       1139.00","       1139.96","       1140.01","       1416","             1614248.25","         11","       1416","        100.00"
"NHAI","N2","05-May-2017","       1211.99","       1210.00","       1214.00","       1210.00","       1213.00","       1213.97","       1212.75","       2014","             2442487.00","         26","       2014","        100.00"
"NHAI","N4","05-May-2017","       1122.10","       1132.01","       1150.00","       1132.01","       1150.00","       1150.00","       1133.10","        221","              250414.60","          4","        210","         95.02"
"NHAI","N5","05-May-2017","       1101.01","       1285.00","       1285.00","       1284.99","       1284.99","       1284.99","       1285.00","         33","               42404.95","          2","         33","        100.00"
"NHAI","N6","05-May-2017","       1239.00","       1239.00","       1240.00","       1232.00","       1240.00","       1239.90","       1237.91","        476","              589245.00","          8","        476","        100.00"
"NHAI","N8","05-May-2017","       1071.10","       1089.00","       1089.00","       1080.05","       1080.05","       1080.05","       1080.31","         40","               43212.30","          5","         31","         77.50"
"NHAI","NA","05-May-2017","       1116.69","       1119.80","       1120.00","       1116.00","       1117.00","       1116.81","       1118.53","       3700","             4138551.82","         30","       3379","         91.32"
"NHAI","NE","05-May-2017","       1159.50","       1157.00","       1160.00","       1157.00","       1158.00","       1158.00","       1159.52","        291","              337420.30","          7","        261","         89.69"
"NHAI","N1","08-May-2017","       1139.96","       1138.00","       1140.00","       1133.15","       1138.11","       1138.11","       1137.56","       1168","             1328664.50","         13","       1039","         88.96"
"NHAI","N2","08-May-2017","       1213.97","       1234.40","       1234.40","       1208.00","       1209.00","       1211.79","       1210.42","       3023","             3659095.20","         22","       2473","         81.81"
"NHAI","N6","08-May-2017","       1239.90","       1235.00","       1240.00","       1232.00","       1240.00","       1239.66","       1237.51","       1380","             1707763.00","         18","       1353","         98.04"
"NHAI","N8","08-May-2017","       1080.05","       1080.05","       1080.05","       1080.05","       1080.05","       1080.05","       1080.05","        230","              248411.50","          3","        230","        100.00"
"NHAI","N9","08-May-2017","       1109.98","       1110.00","       1110.00","       1110.00","       1110.00","       1110.00","       1110.00","        711","              789210.00","          1","        711","        100.00"
"NHAI","NA","08-May-2017","       1116.81","       1117.00","       1117.50","       1116.00","       1116.00","       1116.00","       1116.54","       2880","             3215635.00","         67","       2675","         92.88"
"NHAI","NC","08-May-2017","       1065.00","       1090.00","       1101.00","       1082.01","       1100.00","       1100.00","       1088.06","       1347","             1465613.84","          8","       1223","         90.79"
"NHAI","NE","08-May-2017","       1158.00","       1164.70","       1164.70","       1159.00","       1161.75","       1161.66","       1161.81","        270","              313689.65","          8","        269","         99.63"
"NHAI","N1","09-May-2017","       1138.11","       1138.00","       1141.00","       1138.00","       1140.70","       1140.87","       1139.81","       2961","             3374981.50","         34","       2556","         86.32"
"NHAI","N2","09-May-2017","       1211.79","       1207.00","       1211.25","       1201.26","       1210.00","       1210.00","       1208.53","       5885","             7112214.87","         45","       5635","         95.75"
"NHAI","N4","09-May-2017","       1150.00","       1155.00","       1155.00","       1155.00","       1155.00","       1155.00","       1155.00","         40","               46200.00","          2","         40","        100.00"
"NHAI","N5","09-May-2017","       1284.99","       1185.01","       1193.00","       1185.01","       1193.00","       1193.00","       1189.01","         10","               11890.05","          2","          5","         50.00"
"NHAI","N6","09-May-2017","       1239.66","       1240.25","       1240.25","       1226.00","       1232.00","       1232.00","       1233.14","        600","              739881.75","         15","        500","         83.33"
"NHAI","N8","09-May-2017","       1080.05","       1081.00","       1081.00","       1080.05","       1080.05","       1080.05","       1080.07","         61","               65884.00","          5","         61","        100.00"
"NHAI","N9","09-May-2017","       1110.00","       1118.50","       1118.50","       1118.50","       1118.50","       1118.50","       1118.50","       1000","             1118500.00","          1","       1000","        100.00"
"NHAI","NA","09-May-2017","       1116.00","       1116.50","       1120.00","       1115.00","       1117.50","       1117.50","       1117.45","       8233","             9199932.50","         51","       7633","         92.71"
"NHAI","NC","09-May-2017","       1100.00","       1100.00","       1100.00","       1100.00","       1100.00","       1100.00","       1100.00","        102","              112200.00","          3","        102","        100.00"
"NHAI","NE","09-May-2017","       1161.66","       1161.99","       1162.50","       1159.00","       1162.50","       1162.50","       1161.87","        824","              957378.00","          7","        824","        100.00"
"NHAI","N1","10-May-2017","       1140.87","       1141.00","       1142.00","       1140.00","       1142.00","       1141.81","       1141.33","       6276","             7163007.05","         48","       6276","        100.00"
"NHAI","N2","10-May-2017","       1210.00","       1207.00","       1211.50","       1207.00","       1211.50","       1211.50","       1210.08","       4616","             5585743.50","         21","       4615","         99.98"
"NHAI","N4","10-May-2017","       1155.00","       1155.25","       1155.25","       1155.25","       1155.25","       1155.25","       1155.25","        840","              970410.00","          1","        840","        100.00"
"NHAI","N6","10-May-2017","       1232.00","       1230.10","       1230.10","       1230.10","       1230.10","       1230.10","       1230.10","        100","              123010.00","          1","        100","        100.00"
"NHAI","N8","10-May-2017","       1080.05","       1090.00","       1090.00","       1084.99","       1084.99","       1084.99","       1085.00","        446","              483910.57","          7","        443","         99.33"
"NHAI","NA","10-May-2017","       1117.50","       1117.50","       1120.00","       1117.50","       1120.00","       1120.00","       1119.98","      11375","            12739753.75","         60","      11355","         99.82"
"NHAI","NE","10-May-2017","       1162.50","       1162.50","       1162.50","       1161.00","       1161.00","       1161.00","       1161.95","         41","               47640.00","          4","         41","        100.00"
"NHAI","N1","11-May-2017","       1141.81","       1140.00","       1145.00","       1140.00","       1145.00","       1144.30","       1142.03","       3703","             4228921.00","         21","       3703","        100.00"
"NHAI","N2","11-May-2017","       1211.50","       1211.99","       1216.00","       1209.00","       1216.00","       1216.00","       1210.49","       5860","             7093488.75","         53","       5834","         99.56"
"NHAI","N6","11-May-2017","       1230.10","       1235.00","       1235.00","       1232.00","       1232.00","       1232.05","       1234.48","        609","              751798.00","          6","        609","        100.00"
"NHAI","N8","11-May-2017","       1084.99","       1095.00","       1095.00","       1080.05","       1087.00","       1087.00","       1084.64","        344","              373115.25","         13","        317","         92.15"
"NHAI","NA","11-May-2017","       1120.00","       1120.00","       1124.80","       1119.00","       1124.80","       1124.78","       1121.18","       2037","             2283834.65","         27","       1737","         85.27"
"NHAI","NE","11-May-2017","       1161.00","       1160.01","       1161.00","       1158.30","       1159.00","       1159.00","       1160.11","       1055","             1223916.30","         31","       1055","        100.00"
"NHAI","N1","12-May-2017","       1144.30","       1140.00","       1140.00","       1131.15","       1140.00","       1140.00","       1135.94","       1650","             1874307.40","         14","       1440","         87.27"
"NHAI","N2","12-May-2017","       1216.00","       1216.00","       1217.00","       1211.65","       1211.65","       1211.65","       1214.86","       1571","             1908552.50","          9","       1570","         99.94"
"NHAI","N4","12-May-2017","       1155.25","       1187.00","       1190.00","       1160.35","       1160.35","       1160.35","       1188.03","       1048","             1245056.80","          8","       1000","         95.42"
"NHAI","N6","12-May-2017","       1232.05","       1230.00","       1232.00","       1230.00","       1232.00","       1232.00","       1230.60","        127","              156286.50","          3","        127","        100.00"
"NHAI","N8","12-May-2017","       1087.00","       1090.00","       1090.00","       1080.05","       1087.25","       1087.25","       1085.04","       2308","             2504267.25","         22","       2108","         91.33"
"NHAI","NA","12-May-2017","       1124.78","       1123.00","       1123.00","       1120.00","       1121.00","       1121.00","       1121.19","      13095","            14681983.74","         51","      11990","         91.56"
"NHAI","NC","12-May-2017","       1100.00","       1100.00","       1100.00","       1100.00","       1100.00","       1100.00","       1100.00","          1","                1100.00","          1","          1","        100.00"
"NHAI","NE","12-May-2017","       1159.00","       1158.00","       1161.00","       1150.15","       1160.00","       1160.11","       1155.99","       4662","             5389234.57","         37","       2836","         60.83"
"NHAI","N1","15-May-2017","       1140.00","       1136.01","       1139.00","       1136.01","       1139.00","       1137.86","       1137.18","        355","              403700.45","          6","        175","         49.30"
"NHAI","N2","15-May-2017","       1211.65","       1212.00","       1214.40","       1208.25","       1213.00","       1212.84","       1213.20","       3507","             4254691.25","         41","       3402","         97.01"
